id,study,subgroup,outcome,n,mean,sd,min,q1,median,q3,max
68,"Moraiti et al., 2010",HT,lysholm,6,95.00,5.00,,,,,
70,"Noh et al., 2011",HT,tegner,33,6.00,0.96,5,,,,9
70,"Noh et al., 2011",HT,lysholm,33,98.00,3.61,85,,,,100
70,"Noh et al., 2011",AT,tegner,32,6.00,1.21,4,,,,9
70,"Noh et al., 2011",AT,lysholm,32,99.00,3.63,85,,,,100
73,"Papalia et al., 2015",BPTB,ikdc,20,86.90,11.70,,,,,
73,"Papalia et al., 2015",BPTB,lysholm,20,87.40,13.80,,,,,
73,"Papalia et al., 2015",HT,ikdc,20,90.97,5.10,,,,,
73,"Papalia et al., 2015",HT,lysholm,20,93.17,10.30,,,,,
76,"Pinczewski et al., 2007",BPTB,instrumented_laxity,54,1.20,1.69,,,,,
76,"Pinczewski et al., 2007",HT,instrumented_laxity,58,1.60,1.55,,,,,
77,"Popovic et al., 2024",BPTB,lysholm,38,82.00,15.45,34,,,,100
77,"Popovic et al., 2024",BPTB,tegner,38,4.00,1.64,0,,,,7
77,"Popovic et al., 2024",BPTB,instrumented_laxity,38,1.30,2.20,-3,,,,5
77,"Popovic et al., 2024",HT,lysholm,33,85.00,14.67,39,,,,100
77,"Popovic et al., 2024",HT,tegner,33,5.00,2.16,0,,,,9
77,"Popovic et al., 2024",HT,instrumented_laxity,33,1.50,3.30,-3,,,,12
84,"Sinding et al., 2020",HT,ikdc,43,76.00,15.00,,,,,
84,"Sinding et al., 2020",QT,ikdc,42,76.00,17.00,,,,,
85,"Smith et al., 2020",BPTB,ikdc,32,89.40,9.20,,,,,
85,"Smith et al., 2020",BPTB,instrumented_laxity,32,0.00,0.80,,,,,
85,"Smith et al., 2020",HT,ikdc,32,94.80,6.40,,,,,
85,"Smith et al., 2020",HT,instrumented_laxity,32,0.30,0.70,,,,,
87,"Sonnery-cottet et al., 2026",BPTB,ikdc,296,89.40,10.90,,,,,
87,"Sonnery-cottet et al., 2026",BPTB,lysholm,296,89.00,12.40,,,,,
87,"Sonnery-cottet et al., 2026",BPTB,tegner,296,6.60,1.60,,,,,
87,"Sonnery-cottet et al., 2026",BPTB,instrumented_laxity,296,1.20,1.40,,,,,
87,"Sonnery-cottet et al., 2026",HT,ikdc,297,91.00,10.30,,,,,
87,"Sonnery-cottet et al., 2026",HT,lysholm,297,91.10,11.90,,,,,
87,"Sonnery-cottet et al., 2026",HT,tegner,297,6.70,1.70,,,,,
87,"Sonnery-cottet et al., 2026",HT,instrumented_laxity,297,0.90,1.00,,,,,
89,"Tang et al., 2023",HT,ikdc,16,90.13,6.99,,,92.5,,
89,"Tang et al., 2023",HT,lysholm,16,90.06,7.33,,,,,
89,"Tang et al., 2023",QT,ikdc,17,87.12,6.61,,,90,,
89,"Tang et al., 2023",QT,lysholm,17,90.00,4.26,,,,,
90,"Taylor et al., 2009",BPTB,tegner,20,6.80,3.27,,,,,
90,"Taylor et al., 2009",BPTB,lysholm,21,90.30,12.19,,,,,
90,"Taylor et al., 2009",HT,tegner,24,5.30,3.58,,,,,
90,"Taylor et al., 2009",HT,lysholm,23,90.40,12.75,,,,,
93,"Vilchez-cavazos et al., 2020",BPTB,ikdc,14,90.00,1.76,,87,90.00,93,
93,"Vilchez-cavazos et al., 2020",BPTB,lysholm,14,96.00,2.93,,90,98.00,100,
93,"Vilchez-cavazos et al., 2020",QT,ikdc,14,88.17,2.49,,83,90.00,91.5,
93,"Vilchez-cavazos et al., 2020",QT,lysholm,14,95.33,2.64,,91,95.00,100,
95,"Webster et al., 2001",BPTB,instrumented_laxity,23,1.10,0.65,1,,,,3.5
95,"Webster et al., 2001",HT,instrumented_laxity,31,1.70,0.97,0,,,,4
96,"Wipfler et al., 2011",BPTB,ikdc,29,86.72,2.27,,,,,
96,"Wipfler et al., 2011",BPTB,lysholm,29,87.28,1.76,,,,,
96,"Wipfler et al., 2011",BPTB,tegner,29,6.20,0.35,,,,,
96,"Wipfler et al., 2011",BPTB,instrumented_laxity,29,0.90,0.27,,,,,
96,"Wipfler et al., 2011",HT,ikdc,25,92.95,1.99,,,,,
96,"Wipfler et al., 2011",HT,lysholm,25,91.82,1.71,,,,,
96,"Wipfler et al., 2011",HT,tegner,25,6.14,0.37,,,,,
96,"Wipfler et al., 2011",HT,instrumented_laxity,25,0.64,0.36,,,,,
97,"Yadav et al., 2025",HT,lysholm,36,92.40,3.36,,,,,
97,"Yadav et al., 2025",HT,instrumented_laxity,36,3.77,2.01,,,,,
97,"Yadav et al., 2025",QT,lysholm,33,88.20,4.32,,,,,
97,"Yadav et al., 2025",QT,instrumented_laxity,33,2.73,1.64,,,,,
98,"Yoo et al., 2017",HT,tegner,68,5.00,1.48,2,,,,9
98,"Yoo et al., 2017",HT,lysholm,68,96.00,6.99,67,,,,100
98,"Yoo et al., 2017",TA,tegner,64,5.00,1.07,3,,,,8
98,"Yoo et al., 2017",TA,lysholm,64,93.00,5.78,73,,,,100
100,"Zaffagnini et al., 2011",BPTB,ikdc,40,82.00,20.00,,,,,
100,"Zaffagnini et al., 2011",BPTB,instrumented_laxity,40,0.40,0.60,,,,,
100,"Zaffagnini et al., 2011",HT,ikdc,39,88.00,9.00,,,,,
100,"Zaffagnini et al., 2011",HT,instrumented_laxity,39,1.10,1.90,,,,,
