,,,,,,,,,,,,,,,,,,,,
,,DONE,478,,,Set Lachman and pivot shift at 1+,,,,,,,,,,,,,,
,,TODO,17,,,https://plotdigitizer.com/app,,,,,,,,,,,,,,
,,% COMPLETED,96.57%,,,,,,,,,,,,,,,,,
,id,,study,download,view,screening,subgroup,data_type,outcome,ni,xi,sdi,a,q1,m,q3,b,yi,sei,
74,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Included,patellar,continuous,lysholm,61,79.40,16.90,,,,,,,,
,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Excluded,hamstring,continuous,instrumental laxity,,,,,,,,,,,
76,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Included,hamstring,dichotomous,lachman,86,20,2.88,,,,,,,,
77,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Included,hamstring,dichotomous,pivot shift,86,13,1.71,,,,,,,,
78,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Included,hamstring,continuous,ikdc,86,74.00,18.80,,,,,,,,
79,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Included,hamstring,continuous,tegner,86,4.00,1.70,,,,,,,,
80,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Included,hamstring,continuous,lysholm,86,80.70,15.30,,,,,,,,
81,14,☑,"Bottoni et al., 2015",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bottoni_2015.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bottoni_2015.pdf,Included,hamstring,continuous,ikdc,44,79.50,24.70,,,,,,,,
82,14,☑,"Bottoni et al., 2015",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bottoni_2015.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bottoni_2015.pdf,Included,hamstring,continuous,tegner,44,5.10,2.20,,,,,,,,
83,14,☑,"Bottoni et al., 2015",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bottoni_2015.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bottoni_2015.pdf,Included,tibialis,continuous,ikdc,36,81.10,23.10,,,,,,,,
84,14,☑,"Bottoni et al., 2015",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bottoni_2015.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bottoni_2015.pdf,Included,tibialis,continuous,tegner,36,5.10,2.00,,,,,,,,
,16,☑,"Breker et al., 2025",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/breker_2025.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/breker_2025.pdf,Excluded,patellar,continuous,instrumental laxity,,,,,,,,,,,
,16,☑,"Breker et al., 2025",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/breker_2025.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/breker_2025.pdf,Excluded,hamstring,continuous,instrumental laxity,,,,,,,,,,,
87,18,☑,"Butt et al., 2024",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/butt_2024.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/butt_2024.pdf,Included,hamstring,continuous,lysholm,30,95.10,5.20,,,,,,,,
88,18,☑,"Butt et al., 2024",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/butt_2024.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/butt_2024.pdf,Included,hamstring,continuous,ikdc,30,89.70,5.70,,,,,,,,
